source_row,data_troca,setor,tipo_troca,modulos_possiveis,status_origem,ultima_comunicacao,bateria_antes_percentual
621,2026-04-06,CV10202VP0013/14,CORRETIVA,03-0158 + 03-0230,ATUALIZADA,2026-04-06,100
802,2026-04-22,CV10202VP0009/10,CORRETIVA,03-0158 + 03-0296,ATUALIZADA,2026-04-22,100
803,2026-04-22,CV10202VP0015/16,CORRETIVA,03-0229 + 03-0296,ATUALIZADA,2026-04-22,100
919,2026-05-07,CV10203VP0017/18,CORRETIVA,03-0212 + 03-0306,ATUALIZADA,2026-05-07,100
1010,2026-05-15,CV10202VP0013/14,CORRETIVA,03-0158 + 03-0230,ATUALIZADA,2026-05-15,89
1025,2026-05-15,CV10202VP0015/16,CORRETIVA,03-0229 + 03-0296,ATUALIZADA,2026-05-15,69
1070,2026-05-19,CV10203VP0020/21,CORRETIVA,03-0212 + 03-0223,ATUALIZADA,2026-05-19,91
